loss,accuracy,val_loss,val_accuracy
0.4309648871421814,0.7986558079719543,0.29423075914382935,0.8773805499076843
0.27984365820884705,0.8848848938941956,0.21217410266399384,0.9184764623641968
0.21866752207279205,0.9165593981742859,0.21815557777881622,0.9178082346916199
0.18644839525222778,0.9313599467277527,0.14558152854442596,0.9482125043869019
0.16070927679538727,0.942656934261322,0.15733106434345245,0.9465419054031372
0.140276700258255,0.9485199451446533,0.1393367201089859,0.9518877267837524
0.1247178465127945,0.9555984735488892,0.13794569671154022,0.95322418212890625
0.10575184226036072,0.9639639854431152,0.1504465788602829,0.947878360748291
0.08694393187761307,0.9695409536361694,0.18200381100177765,0.9418643712997437
0.07223165780305862,0.9738309979438782,0.18687675893306732,0.9415302276611328
